x,y,u_h
0.0153846,0.0153846,0.00233464
0.0307692,0.0153846,0.00466382
0.0461538,0.0153846,0.00698211
0.0615385,0.0153846,0.0092841
0.0769231,0.0153846,0.0115644
0.0923077,0.0153846,0.0138177
0.107692,0.0153846,0.0160387
0.123077,0.0153846,0.0182223
0.138462,0.0153846,0.0203633
0.153846,0.0153846,0.0224567
0.169231,0.0153846,0.0244977
0.184615,0.0153846,0.0264815
0.2,0.0153846,0.0284034
0.215385,0.0153846,0.030259
0.230769,0.0153846,0.0320439
0.246154,0.0153846,0.033754
0.261538,0.0153846,0.0353853
0.276923,0.0153846,0.0369339
0.292308,0.0153846,0.0383962
0.307692,0.0153846,0.0397689
0.323077,0.0153846,0.0410487
0.338462,0.0153846,0.0422326
0.353846,0.0153846,0.0433178
0.369231,0.0153846,0.044302
0.384615,0.0153846,0.0451826
0.4,0.0153846,0.0459577
0.415385,0.0153846,0.0466255
0.430769,0.0153846,0.0471844
0.446154,0.0153846,0.047633
0.461538,0.0153846,0.0479705
0.476923,0.0153846,0.0481958
0.492308,0.0153846,0.0483087
0.507692,0.0153846,0.0483087
0.523077,0.0153846,0.0481958
0.538462,0.0153846,0.0479705
0.553846,0.0153846,0.047633
0.569231,0.0153846,0.0471844
0.584615,0.0153846,0.0466255
0.6,0.0153846,0.0459577
0.615385,0.0153846,0.0451826
0.630769,0.0153846,0.044302
0.646154,0.0153846,0.0433178
0.661538,0.0153846,0.0422326
0.676923,0.0153846,0.0410487
0.692308,0.0153846,0.0397689
0.707692,0.0153846,0.0383962
0.723077,0.0153846,0.0369339
0.738462,0.0153846,0.0353853
0.753846,0.0153846,0.033754
0.769231,0.0153846,0.0320439
0.784615,0.0153846,0.030259
0.8,0.0153846,0.0284034
0.815385,0.0153846,0.0264815
0.830769,0.0153846,0.0244977
0.846154,0.0153846,0.0224567
0.861538,0.0153846,0.0203633
0.876923,0.0153846,0.0182223
0.892308,0.0153846,0.0160387
0.907692,0.0153846,0.0138177
0.923077,0.0153846,0.0115644
0.938462,0.0153846,0.0092841
0.953846,0.0153846,0.00698211
0.969231,0.0153846,0.00466382
0.984615,0.0153846,0.00233464
0.0153846,0.0307692,0.00466382
0.0307692,0.0307692,0.00931675
0.0461538,0.0307692,0.0139479
0.0615385,0.0307692,0.0185465
0.0769231,0.0307692,0.0231018
0.0923077,0.0307692,0.0276031
0.107692,0.0307692,0.03204
0.123077,0.0307692,0.036402
0.138462,0.0307692,0.040679
0.153846,0.0307692,0.044861
0.169231,0.0307692,0.0489382
0.184615,0.0307692,0.0529011
0.2,0.0307692,0.0567405
0.215385,0.0307692,0.0604474
0.230769,0.0307692,0.064013
0.246154,0.0307692,0.0674292
0.261538,0.0307692,0.0706879
0.276923,0.0307692,0.0737815
0.292308,0.0307692,0.0767027
0.307692,0.0307692,0.0794449
0.323077,0.0307692,0.0820014
0.338462,0.0307692,0.0843665
0.353846,0.0307692,0.0865345
0.369231,0.0307692,0.0885004
0.384615,0.0307692,0.0902597
0.4,0.0307692,0.0918081
0.415385,0.0307692,0.0931421
0.430769,0.0307692,0.0942585
0.446154,0.0307692,0.0951548
0.461538,0.0307692,0.0958289
0.476923,0.0307692,0.0962791
0.492308,0.0307692,0.0965045
0.507692,0.0307692,0.0965045
0.523077,0.0307692,0.0962791
0.538462,0.0307692,0.0958289
0.553846,0.0307692,0.0951548
0.569231,0.0307692,0.0942585
0.584615,0.0307692,0.0931421
0.6,0.0307692,0.0918081
0.615385,0.0307692,0.0902597
0.630769,0.0307692,0.0885004
0.646154,0.0307692,0.0865345
0.661538,0.0307692,0.0843665
0.676923,0.0307692,0.0820014
0.692308,0.0307692,0.0794449
0.707692,0.0307692,0.0767027
0.723077,0.0307692,0.0737815
0.738462,0.0307692,0.0706879
0.753846,0.0307692,0.0674292
0.769231,0.0307692,0.064013
0.784615,0.0307692,0.0604474
0.8,0.0307692,0.0567405
0.815385,0.0307692,0.0529011
0.830769,0.0307692,0.0489382
0.846154,0.0307692,0.044861
0.861538,0.0307692,0.040679
0.876923,0.0307692,0.036402
0.892308,0.0307692,0.03204
0.907692,0.0307692,0.0276031
0.923077,0.0307692,0.0231018
0.938462,0.0307692,0.0185465
0.953846,0.0307692,0.0139479
0.969231,0.0307692,0.00931675
0.984615,0.0307692,0.00466382
0.0153846,0.0461538,0.00698211
0.0307692,0.0461538,0.0139479
0.0461538,0.0461538,0.0208811
0.0615385,0.0461538,0.0277656
0.0769231,0.0461538,0.0345852
0.0923077,0.0461538,0.0413241
0.107692,0.0461538,0.0479664
0.123077,0.0461538,0.0544967
0.138462,0.0461538,0.0608997
0.153846,0.0461538,0.0671605
0.169231,0.0461538,0.0732644
0.184615,0.0461538,0.0791972
0.2,0.0461538,0.0849451
0.215385,0.0461538,0.0904945
0.230769,0.0461538,0.0958326
0.246154,0.0461538,0.100947
0.261538,0.0461538,0.105825
0.276923,0.0461538,0.110457
0.292308,0.0461538,0.11483
0.307692,0.0461538,0.118935
0.323077,0.0461538,0.122763
0.338462,0.0461538,0.126303
0.353846,0.0461538,0.129549
0.369231,0.0461538,0.132492
0.384615,0.0461538,0.135126
0.4,0.0461538,0.137444
0.415385,0.0461538,0.139441
0.430769,0.0461538,0.141113
0.446154,0.0461538,0.142454
0.461538,0.0461538,0.143463
0.476923,0.0461538,0.144138
0.492308,0.0461538,0.144475
0.507692,0.0461538,0.144475
0.523077,0.0461538,0.144138
0.538462,0.0461538,0.143463
0.553846,0.0461538,0.142454
0.569231,0.0461538,0.141113
0.584615,0.0461538,0.139441
0.6,0.0461538,0.137444
0.615385,0.0461538,0.135126
0.630769,0.0461538,0.132492
0.646154,0.0461538,0.129549
0.661538,0.0461538,0.126303
0.676923,0.0461538,0.122763
0.692308,0.0461538,0.118935
0.707692,0.0461538,0.11483
0.723077,0.0461538,0.110457
0.738462,0.0461538,0.105825
0.753846,0.0461538,0.100947
0.769231,0.0461538,0.0958326
0.784615,0.0461538,0.0904945
0.8,0.0461538,0.0849451
0.815385,0.0461538,0.0791972
0.830769,0.0461538,0.0732644
0.846154,0.0461538,0.0671605
0.861538,0.0461538,0.0608997
0.876923,0.0461538,0.0544967
0.892308,0.0461538,0.0479664
0.907692,0.0461538,0.0413241
0.923077,0.0461538,0.0345852
0.938462,0.0461538,0.0277656
0.953846,0.0461538,0.0208811
0.969231,0.0461538,0.0139479
0.984615,0.0461538,0.00698211
0.0153846,0.0615385,0.0092841
0.0307692,0.0615385,0.0185465
0.0461538,0.0615385,0.0277656
0.0615385,0.0615385,0.0369199
0.0769231,0.0615385,0.0459879
0.0923077,0.0615385,0.0549485
0.107692,0.0615385,0.0637808
0.123077,0.0615385,0.0724641
0.138462,0.0615385,0.0809782
0.153846,0.0615385,0.0893031
0.169231,0.0615385,0.0974195
