i,x,y
249,0.390625,0.112496
250,0.392188,0.112713
251,0.39375,0.112929
252,0.395313,0.113142
253,0.396875,0.113353
254,0.398438,0.113563
255,0.4,0.11377
256,0.401563,0.113974
257,0.403125,0.114177
258,0.404688,0.114378
259,0.40625,0.114576
260,0.407813,0.114773
261,0.409375,0.114967
262,0.410938,0.115159
263,0.4125,0.115349
264,0.414062,0.115537
265,0.415625,0.115722
266,0.417188,0.115906
267,0.41875,0.116087
268,0.420313,0.116266
269,0.421875,0.116443
270,0.423438,0.116618
271,0.425,0.116791
272,0.426563,0.116961
273,0.428125,0.11713
274,0.429688,0.117296
275,0.43125,0.11746
276,0.432813,0.117621
277,0.434375,0.117781
278,0.435938,0.117938
279,0.4375,0.118094
280,0.439063,0.118247
281,0.440625,0.118397
282,0.442188,0.118546
283,0.44375,0.118692
284,0.445312,0.118836
285,0.446875,0.118978
286,0.448438,0.119118
287,0.45,0.119256
288,0.451563,0.119391
289,0.453125,0.119524
290,0.454688,0.119655
291,0.45625,0.119783
292,0.457813,0.11991
293,0.459375,0.120034
294,0.460938,0.120155
295,0.4625,0.120275
296,0.464063,0.120392
297,0.465625,0.120507
298,0.467188,0.12062
299,0.46875,0.120731
300,0.470313,0.120839
301,0.471875,0.120945
302,0.473438,0.121049
303,0.475,0.12115
304,0.476562,0.121249
305,0.478125,0.121346
306,0.479688,0.12144
307,0.48125,0.121533
308,0.482813,0.121623
309,0.484375,0.12171
310,0.485938,0.121796
311,0.4875,0.121879
312,0.489063,0.121959
313,0.490625,0.122038
314,0.492188,0.122114
315,0.49375,0.122188
316,0.495313,0.122259
317,0.496875,0.122328
318,0.498438,0.122395
319,0.5,0.122459
320,0.501563,0.122521
321,0.503125,0.122581
322,0.504688,0.122639
323,0.50625,0.122694
324,0.507812,0.122746
325,0.509375,0.122797
326,0.510938,0.122845
327,0.5125,0.12289
328,0.514062,0.122933
329,0.515625,0.122974
330,0.517188,0.123013
331,0.51875,0.123049
332,0.520313,0.123082
333,0.521875,0.123114
334,0.523438,0.123143
335,0.525,0.123169
336,0.526563,0.123193
337,0.528125,0.123215
338,0.529687,0.123234
339,0.53125,0.123251
340,0.532813,0.123265
341,0.534375,0.123277
342,0.535938,0.123287
343,0.5375,0.123294
344,0.539062,0.123299
345,0.540625,0.123301
346,0.542188,0.123301
347,0.54375,0.123299
348,0.545312,0.123294
349,0.546875,0.123286
350,0.548438,0.123276
351,0.55,0.123264
352,0.551563,0.123249
353,0.553125,0.123232
354,0.554688,0.123212
355,0.55625,0.12319
356,0.557813,0.123165
357,0.559375,0.123138
358,0.560937,0.123108
359,0.5625,0.123076
360,0.564063,0.123041
361,0.565625,0.123004
362,0.567188,0.122964
363,0.56875,0.122922
364,0.570312,0.122877
365,0.571875,0.12283
366,0.573438,0.12278
367,0.575,0.122728
368,0.576562,0.122673
369,0.578125,0.122616
370,0.579688,0.122556
371,0.58125,0.122494
372,0.582813,0.122429
373,0.584375,0.122361
374,0.585938,0.122291
375,0.5875,0.122219
376,0.589063,0.122144
377,0.590625,0.122066
378,0.592187,0.121986
379,0.59375,0.121903
380,0.595313,0.121818
381,0.596875,0.12173
382,0.598438,0.121639
383,0.6,0.121546
384,0.601562,0.12145
385,0.603125,0.121352
386,0.604688,0.121251
387,0.60625,0.121148
388,0.607813,0.121041
389,0.609375,0.120933
390,0.610938,0.120821
391,0.6125,0.120707
392,0.614063,0.120591
393,0.615625,0.120472
394,0.617188,0.12035
395,0.61875,0.120225
396,0.620313,0.120098
397,0.621875,0.119969
398,0.623438,0.119836
399,0.625,0.119701
400,0.626563,0.119563
