x,y,error
0.00389105,0.00389105,1.86066e-09
0.0077821,0.00389105,3.72104e-09
0.0116732,0.00389105,5.58087e-09
0.0155642,0.00389105,7.43987e-09
0.0194553,0.00389105,9.29775e-09
0.0233463,0.00389105,1.11542e-08
0.0272374,0.00389105,1.30091e-08
0.0311284,0.00389105,1.48619e-08
0.0350195,0.00389105,1.67126e-08
0.0389105,0.00389105,1.85608e-08
0.0428016,0.00389105,2.04062e-08
0.0466926,0.00389105,2.22485e-08
0.0505837,0.00389105,2.40875e-08
0.0544747,0.00389105,2.59229e-08
0.0583658,0.00389105,2.77545e-08
0.0622568,0.00389105,2.95819e-08
0.0661479,0.00389105,3.14049e-08
0.0700389,0.00389105,3.32231e-08
0.07393,0.00389105,3.50365e-08
0.077821,0.00389105,3.68445e-08
0.0817121,0.00389105,3.86471e-08
0.0856031,0.00389105,4.04439e-08
0.0894942,0.00389105,4.22347e-08
0.0933852,0.00389105,4.40191e-08
0.0972763,0.00389105,4.5797e-08
0.101167,0.00389105,4.7568e-08
0.105058,0.00389105,4.93319e-08
0.108949,0.00389105,5.10885e-08
0.11284,0.00389105,5.28374e-08
0.116732,0.00389105,5.45784e-08
0.120623,0.00389105,5.63113e-08
0.124514,0.00389105,5.80357e-08
0.128405,0.00389105,5.97515e-08
0.132296,0.00389105,6.14584e-08
0.136187,0.00389105,6.3156e-08
0.140078,0.00389105,6.48443e-08
0.143969,0.00389105,6.65228e-08
0.14786,0.00389105,6.81914e-08
0.151751,0.00389105,6.98498e-08
0.155642,0.00389105,7.14978e-08
0.159533,0.00389105,7.31351e-08
0.163424,0.00389105,7.47614e-08
0.167315,0.00389105,7.63766e-08
0.171206,0.00389105,7.79804e-08
0.175097,0.00389105,7.95725e-08
0.178988,0.00389105,8.11527e-08
0.182879,0.00389105,8.27208e-08
0.18677,0.00389105,8.42766e-08
0.190661,0.00389105,8.58197e-08
0.194553,0.00389105,8.73501e-08
0.198444,0.00389105,8.88673e-08
0.202335,0.00389105,9.03713e-08
0.206226,0.00389105,9.18618e-08
0.210117,0.00389105,9.33386e-08
0.214008,0.00389105,9.48014e-08
0.217899,0.00389105,9.62501e-08
0.22179,0.00389105,9.76843e-08
0.225681,0.00389105,9.9104e-08
0.229572,0.00389105,1.00509e-07
0.233463,0.00389105,1.01899e-07
0.237354,0.00389105,1.03273e-07
0.241245,0.00389105,1.04633e-07
0.245136,0.00389105,1.05976e-07
0.249027,0.00389105,1.07304e-07
0.252918,0.00389105,1.08615e-07
0.256809,0.00389105,1.09911e-07
0.2607,0.00389105,1.1119e-07
0.264591,0.00389105,1.12452e-07
0.268482,0.00389105,1.13698e-07
0.272374,0.00389105,1.14927e-07
0.276265,0.00389105,1.16138e-07
0.280156,0.00389105,1.17332e-07
0.284047,0.00389105,1.18509e-07
0.287938,0.00389105,1.19668e-07
0.291829,0.00389105,1.20809e-07
0.29572,0.00389105,1.21931e-07
0.299611,0.00389105,1.23036e-07
0.303502,0.00389105,1.24123e-07
0.307393,0.00389105,1.2519e-07
0.311284,0.00389105,1.26239e-07
0.315175,0.00389105,1.2727e-07
0.319066,0.00389105,1.28281e-07
0.322957,0.00389105,1.29273e-07
0.326848,0.00389105,1.30245e-07
0.330739,0.00389105,1.31199e-07
0.33463,0.00389105,1.32132e-07
0.338521,0.00389105,1.33046e-07
0.342412,0.00389105,1.3394e-07
0.346304,0.00389105,1.34814e-07
0.350195,0.00389105,1.35668e-07
0.354086,0.00389105,1.36502e-07
0.357977,0.00389105,1.37315e-07
0.361868,0.00389105,1.38107e-07
0.365759,0.00389105,1.38879e-07
0.36965,0.00389105,1.39631e-07
0.373541,0.00389105,1.40361e-07
0.377432,0.00389105,1.41071e-07
0.381323,0.00389105,1.41759e-07
0.385214,0.00389105,1.42426e-07
0.389105,0.00389105,1.43072e-07
0.392996,0.00389105,1.43696e-07
0.396887,0.00389105,1.44299e-07
0.400778,0.00389105,1.44881e-07
0.404669,0.00389105,1.45441e-07
0.40856,0.00389105,1.45979e-07
0.412451,0.00389105,1.46495e-07
0.416342,0.00389105,1.4699e-07
0.420233,0.00389105,1.47462e-07
0.424125,0.00389105,1.47912e-07
0.428016,0.00389105,1.48341e-07
0.431907,0.00389105,1.48747e-07
0.435798,0.00389105,1.49131e-07
0.439689,0.00389105,1.49492e-07
0.44358,0.00389105,1.49832e-07
0.447471,0.00389105,1.50148e-07
0.451362,0.00389105,1.50443e-07
0.455253,0.00389105,1.50715e-07
0.459144,0.00389105,1.50964e-07
0.463035,0.00389105,1.51191e-07
0.466926,0.00389105,1.51395e-07
0.470817,0.00389105,1.51577e-07
0.474708,0.00389105,1.51736e-07
0.478599,0.00389105,1.51872e-07
