x,y,u_h
0.00775194,0.00775194,0.000593002
0.0155039,0.00775194,0.00118565
0.0232558,0.00775194,0.0017776
0.0310078,0.00775194,0.00236849
0.0387597,0.00775194,0.00295798
0.0465116,0.00775194,0.00354571
0.0542636,0.00775194,0.00413134
0.0620155,0.00775194,0.00471452
0.0697674,0.00775194,0.00529491
0.0775194,0.00775194,0.00587215
0.0852713,0.00775194,0.00644592
0.0930233,0.00775194,0.00701585
0.100775,0.00775194,0.00758163
0.108527,0.00775194,0.00814292
0.116279,0.00775194,0.00869937
0.124031,0.00775194,0.00925066
0.131783,0.00775194,0.00979647
0.139535,0.00775194,0.0103365
0.147287,0.00775194,0.0108703
0.155039,0.00775194,0.0113978
0.162791,0.00775194,0.0119184
0.170543,0.00775194,0.012432
0.178295,0.00775194,0.0129382
0.186047,0.00775194,0.0134368
0.193798,0.00775194,0.0139274
0.20155,0.00775194,0.0144097
0.209302,0.00775194,0.0148834
0.217054,0.00775194,0.0153484
0.224806,0.00775194,0.0158042
0.232558,0.00775194,0.0162507
0.24031,0.00775194,0.0166875
0.248062,0.00775194,0.0171145
0.255814,0.00775194,0.0175313
0.263566,0.00775194,0.0179376
0.271318,0.00775194,0.0183334
0.27907,0.00775194,0.0187183
0.286822,0.00775194,0.019092
0.294574,0.00775194,0.0194545
0.302326,0.00775194,0.0198054
0.310078,0.00775194,0.0201446
0.317829,0.00775194,0.0204718
0.325581,0.00775194,0.0207869
0.333333,0.00775194,0.0210896
0.341085,0.00775194,0.0213799
0.348837,0.00775194,0.0216575
0.356589,0.00775194,0.0219222
0.364341,0.00775194,0.0221739
0.372093,0.00775194,0.0224125
0.379845,0.00775194,0.0226378
0.387597,0.00775194,0.0228496
0.395349,0.00775194,0.0230479
0.403101,0.00775194,0.0232326
0.410853,0.00775194,0.0234034
0.418605,0.00775194,0.0235604
0.426357,0.00775194,0.0237034
0.434109,0.00775194,0.0238323
0.44186,0.00775194,0.0239471
0.449612,0.00775194,0.0240478
0.457364,0.00775194,0.0241341
0.465116,0.00775194,0.0242061
0.472868,0.00775194,0.0242638
0.48062,0.00775194,0.0243071
0.488372,0.00775194,0.024336
0.496124,0.00775194,0.0243504
0.503876,0.00775194,0.0243504
0.511628,0.00775194,0.024336
0.51938,0.00775194,0.0243071
0.527132,0.00775194,0.0242638
0.534884,0.00775194,0.0242061
0.542636,0.00775194,0.0241341
0.550388,0.00775194,0.0240478
0.55814,0.00775194,0.0239471
0.565891,0.00775194,0.0238323
0.573643,0.00775194,0.0237034
0.581395,0.00775194,0.0235604
0.589147,0.00775194,0.0234034
0.596899,0.00775194,0.0232326
0.604651,0.00775194,0.0230479
0.612403,0.00775194,0.0228496
0.620155,0.00775194,0.0226378
0.627907,0.00775194,0.0224125
0.635659,0.00775194,0.0221739
0.643411,0.00775194,0.0219222
0.651163,0.00775194,0.0216575
0.658915,0.00775194,0.0213799
0.666667,0.00775194,0.0210896
0.674419,0.00775194,0.0207869
0.682171,0.00775194,0.0204718
0.689922,0.00775194,0.0201446
0.697674,0.00775194,0.0198054
0.705426,0.00775194,0.0194545
0.713178,0.00775194,0.019092
0.72093,0.00775194,0.0187183
0.728682,0.00775194,0.0183334
0.736434,0.00775194,0.0179376
0.744186,0.00775194,0.0175313
0.751938,0.00775194,0.0171145
0.75969,0.00775194,0.0166875
0.767442,0.00775194,0.0162507
0.775194,0.00775194,0.0158042
0.782946,0.00775194,0.0153484
0.790698,0.00775194,0.0148834
0.79845,0.00775194,0.0144097
0.806202,0.00775194,0.0139274
0.813953,0.00775194,0.0134368
0.821705,0.00775194,0.0129382
0.829457,0.00775194,0.012432
0.837209,0.00775194,0.0119184
0.844961,0.00775194,0.0113978
0.852713,0.00775194,0.0108703
0.860465,0.00775194,0.0103365
0.868217,0.00775194,0.00979647
0.875969,0.00775194,0.00925066
0.883721,0.00775194,0.00869937
0.891473,0.00775194,0.00814292
0.899225,0.00775194,0.00758163
0.906977,0.00775194,0.00701585
0.914729,0.00775194,0.00644592
0.922481,0.00775194,0.00587215
0.930233,0.00775194,0.00529491
0.937984,0.00775194,0.00471452
0.945736,0.00775194,0.00413134
0.953488,0.00775194,0.00354571
0.96124,0.00775194,0.00295798
0.968992,0.00775194,0.00236849
0.976744,0.00775194,0.0017776
0.984496,0.00775194,0.00118565
0.992248,0.00775194,0.000593002
0.00775194,0.0155039,0.00118565
0.0155039,0.0155039,0.0023706
0.0232558,0.0155039,0.00355414
0.0310078,0.0155039,0.00473558
0.0387597,0.0155039,0.0059142
0.0465116,0.0155039,0.00708932
0.0542636,0.0155039,0.00826024
0.0620155,0.0155039,0.00942625
0.0697674,0.0155039,0.0105867
0.0775194,0.0155039,0.0117408
0.0852713,0.0155039,0.012888
0.0930233,0.0155039,0.0140275
0.100775,0.0155039,0.0151588
0.108527,0.0155039,0.016281
0.116279,0.0155039,0.0173936
0.124031,0.0155039,0.0184958
0.131783,0.0155039,0.0195871
0.139535,0.0155039,0.0206668
0.147287,0.0155039,0.0217342
0.155039,0.0155039,0.0227887
0.162791,0.0155039,0.0238298
0.170543,0.0155039,0.0248566
0.178295,0.0155039,0.0258688
0.186047,0.0155039,0.0268656
0.193798,0.0155039,0.0278464
0.20155,0.0155039,0.0288108
0.209302,0.0155039,0.0297581
0.217054,0.0155039,0.0306877
0.224806,0.0155039,0.0315991
0.232558,0.0155039,0.0324918
0.24031,0.0155039,0.0333652
0.248062,0.0155039,0.0342188
0.255814,0.0155039,0.0350521
0.263566,0.0155039,0.0358646
0.271318,0.0155039,0.0366559
0.27907,0.0155039,0.0374254
0.286822,0.0155039,0.0381728
0.294574,0.0155039,0.0388975
0.302326,0.0155039,0.0395991
0.310078,0.0155039,0.0402772
0.317829,0.0155039,0.0409315
0.325581,0.0155039,0.0415615
0.333333,0.0155039,0.0421668
0.341085,0.0155039,0.0427471
0.348837,0.0155039,0.0433021
0.356589,0.0155039,0.0438314
0.364341,0.0155039,0.0443347
0.372093,0.0155039,0.0448117
0.379845,0.0155039,0.0452621
0.387597,0.0155039,0.0456857
0.395349,0.0155039,0.0460822
0.403101,0.0155039,0.0464513
0.410853,0.0155039,0.0467929
0.418605,0.0155039,0.0471068
0.426357,0.0155039,0.0473927
0.434109,0.0155039,0.0476505
0.44186,0.0155039,0.0478801
0.449612,0.0155039,0.0480812
0.457364,0.0155039,0.0482539
0.465116,0.0155039,0.0483979
0.472868,0.0155039,0.0485132
0.48062,0.0155039,0.0485998
0.488372,0.0155039,0.0486575
0.496124,0.0155039,0.0486864
0.503876,0.0155039,0.0486864
0.511628,0.0155039,0.0486575
0.51938,0.0155039,0.0485998
0.527132,0.0155039,0.0485132
0.534884,0.0155039,0.0483979
0.542636,0.0155039,0.0482539
0.550388,0.0155039,0.0480812
0.55814,0.0155039,0.0478801
0.565891,0.0155039,0.0476505
0.573643,0.0155039,0.0473927
0.581395,0.0155039,0.0471068
0.589147,0.0155039,0.0467929
0.596899,0.0155039,0.0464513
0.604651,0.0155039,0.0460822
0.612403,0.0155039,0.0456857
0.620155,0.0155039,0.0452621
0.627907,0.0155039,0.0448117
0.635659,0.0155039,0.0443347
0.643411,0.0155039,0.0438314
0.651163,0.0155039,0.0433021
0.658915,0.0155039,0.0427471
0.666667,0.0155039,0.0421668
0.674419,0.0155039,0.0415615
0.682171,0.0155039,0.0409315
0.689922,0.0155039,0.0402772
0.697674,0.0155039,0.0395991
0.705426,0.0155039,0.0388975
0.713178,0.0155039,0.0381728
0.72093,0.0155039,0.0374254
0.728682,0.0155039,0.0366559
0.736434,0.0155039,0.0358646
0.744186,0.0155039,0.0350521
0.751938,0.0155039,0.0342188
0.75969,0.0155039,0.0333652
0.767442,0.0155039,0.0324918
0.775194,0.0155039,0.0315991
0.782946,0.0155039,0.0306877
0.790698,0.0155039,0.0297581
0.79845,0.0155039,0.0288108
0.806202,0.0155039,0.0278464
0.813953,0.0155039,0.0268656
0.821705,0.0155039,0.0258688
0.829457,0.0155039,0.0248566
0.837209,0.0155039,0.0238298
0.844961,0.0155039,0.0227887
0.852713,0.0155039,0.0217342
0.860465,0.0155039,0.0206668
0.868217,0.0155039,0.0195871
0.875969,0.0155039,0.0184958
0.883721,0.0155039,0.0173936
0.891473,0.0155039,0.016281
0.899225,0.0155039,0.0151588
0.906977,0.0155039,0.0140275
0.914729,0.0155039,0.012888
0.922481,0.0155039,0.0117408
0.930233,0.0155039,0.0105867
0.937984,0.0155039,0.00942625
0.945736,0.0155039,0.00826024
0.953488,0.0155039,0.00708932
0.96124,0.0155039,0.0059142
0.968992,0.0155039,0.00473558
0.976744,0.0155039,0.00355414
0.984496,0.0155039,0.0023706
0.992248,0.0155039,0.00118565
0.00775194,0.0232558,0.0017776
0.0155039,0.0232558,0.00355414
0.0232558,0.0232558,0.00532858
0.0310078,0.0232558,0.00709986
0.0387597,0.0232558,0.00886692
0.0465116,0.0232558,0.0106287
0.0542636,0.0232558,0.0123842
0.0620155,0.0232558,0.0141324
0.0697674,0.0232558,0.0158722
0.0775194,0.0232558,0.0176025
0.0852713,0.0232558,0.0193225
0.0930233,0.0232558,0.0210309
0.100775,0.0232558,0.0227269
0.108527,0.0232558,0.0244094
0.116279,0.0232558,0.0260775
0.124031,0.0232558,0.02773
0.131783,0.0232558,0.0293662
0.139535,0.0232558,0.0309849
0.147287,0.0232558,0.0325852
0.155039,0.0232558,0.0341662
0.162791,0.0232558,0.035727
0.170543,0.0232558,0.0372665
0.178295,0.0232558,0.038784
0.186047,0.0232558,0.0402785
0.193798,0.0232558,0.041749
0.20155,0.0232558,0.0431948
0.209302,0.0232558,0.044615
0.217054,0.0232558,0.0460088
0.224806,0.0232558,0.0473752
0.232558,0.0232558,0.0487136
0.24031,0.0232558,0.050023
