x,y,error
0.0153846,0.0153846,4.54441e-07
0.0307692,0.0153846,9.0782e-07
0.0461538,0.0153846,1.35908e-06
0.0615385,0.0153846,1.80716e-06
0.0769231,0.0153846,2.25103e-06
0.0923077,0.0153846,2.68964e-06
0.107692,0.0153846,3.12196e-06
0.123077,0.0153846,3.54699e-06
0.138462,0.0153846,3.96374e-06
0.153846,0.0153846,4.37124e-06
0.169231,0.0153846,4.76852e-06
0.184615,0.0153846,5.15466e-06
0.2,0.0153846,5.52877e-06
0.215385,0.0153846,5.88997e-06
0.230769,0.0153846,6.2374e-06
0.246154,0.0153846,6.57027e-06
0.261538,0.0153846,6.8878e-06
0.276923,0.0153846,7.18924e-06
0.292308,0.0153846,7.47388e-06
0.307692,0.0153846,7.74107e-06
0.323077,0.0153846,7.99019e-06
0.338462,0.0153846,8.22064e-06
0.353846,0.0153846,8.43189e-06
0.369231,0.0153846,8.62345e-06
0.384615,0.0153846,8.79486e-06
0.4,0.0153846,8.94574e-06
0.415385,0.0153846,9.07572e-06
0.430769,0.0153846,9.18451e-06
0.446154,0.0153846,9.27185e-06
0.461538,0.0153846,9.33753e-06
0.476923,0.0153846,9.3814e-06
0.492308,0.0153846,9.40336e-06
0.507692,0.0153846,9.40336e-06
0.523077,0.0153846,9.3814e-06
0.538462,0.0153846,9.33753e-06
0.553846,0.0153846,9.27185e-06
0.569231,0.0153846,9.18451e-06
0.584615,0.0153846,9.07572e-06
0.6,0.0153846,8.94574e-06
0.615385,0.0153846,8.79486e-06
0.630769,0.0153846,8.62345e-06
0.646154,0.0153846,8.43189e-06
0.661538,0.0153846,8.22064e-06
0.676923,0.0153846,7.99019e-06
0.692308,0.0153846,7.74107e-06
0.707692,0.0153846,7.47388e-06
0.723077,0.0153846,7.18924e-06
0.738462,0.0153846,6.8878e-06
0.753846,0.0153846,6.57027e-06
0.769231,0.0153846,6.2374e-06
0.784615,0.0153846,5.88997e-06
0.8,0.0153846,5.52877e-06
0.815385,0.0153846,5.15466e-06
0.830769,0.0153846,4.76852e-06
0.846154,0.0153846,4.37124e-06
0.861538,0.0153846,3.96374e-06
0.876923,0.0153846,3.54699e-06
0.892308,0.0153846,3.12196e-06
