x,y,u_h
0.00389105,0.00389105,0.000149423
0.0077821,0.00389105,0.000298824
0.0116732,0.00389105,0.00044818
0.0155642,0.00389105,0.000597468
0.0194553,0.00389105,0.000746668
0.0233463,0.00389105,0.000895756
0.0272374,0.00389105,0.00104471
0.0311284,0.00389105,0.00119351
0.0350195,0.00389105,0.00134213
0.0389105,0.00389105,0.00149055
0.0428016,0.00389105,0.00163874
0.0466926,0.00389105,0.0017867
0.0505837,0.00389105,0.00193438
0.0544747,0.00389105,0.00208178
0.0583658,0.00389105,0.00222886
0.0622568,0.00389105,0.00237561
0.0661479,0.00389105,0.00252201
0.0700389,0.00389105,0.00266803
0.07393,0.00389105,0.00281365
0.077821,0.00389105,0.00295885
0.0817121,0.00389105,0.00310361
0.0856031,0.00389105,0.0032479
0.0894942,0.00389105,0.00339171
0.0933852,0.00389105,0.00353502
0.0972763,0.00389105,0.00367779
0.101167,0.00389105,0.00382001
0.105058,0.00389105,0.00396167
0.108949,0.00389105,0.00410273
0.11284,0.00389105,0.00424318
0.116732,0.00389105,0.00438299
0.120623,0.00389105,0.00452215
0.124514,0.00389105,0.00466064
0.128405,0.00389105,0.00479843
0.132296,0.00389105,0.0049355
0.136187,0.00389105,0.00507183
0.140078,0.00389105,0.00520741
0.143969,0.00389105,0.0053422
0.14786,0.00389105,0.0054762
0.151751,0.00389105,0.00560938
0.155642,0.00389105,0.00574173
0.159533,0.00389105,0.00587321
0.163424,0.00389105,0.00600382
0.167315,0.00389105,0.00613353
0.171206,0.00389105,0.00626232
0.175097,0.00389105,0.00639018
0.178988,0.00389105,0.00651708
0.182879,0.00389105,0.00664301
0.18677,0.00389105,0.00676795
0.190661,0.00389105,0.00689187
0.194553,0.00389105,0.00701477
0.198444,0.00389105,0.00713661
0.202335,0.00389105,0.00725739
0.206226,0.00389105,0.00737709
0.210117,0.00389105,0.00749568
0.214008,0.00389105,0.00761316
0.217899,0.00389105,0.00772949
0.22179,0.00389105,0.00784467
0.225681,0.00389105,0.00795868
0.229572,0.00389105,0.0080715
0.233463,0.00389105,0.00818312
0.237354,0.00389105,0.00829351
0.241245,0.00389105,0.00840266
0.245136,0.00389105,0.00851055
0.249027,0.00389105,0.00861718
0.252918,0.00389105,0.00872251
0.256809,0.00389105,0.00882655
0.2607,0.00389105,0.00892926
0.264591,0.00389105,0.00903064
0.268482,0.00389105,0.00913067
0.272374,0.00389105,0.00922934
0.276265,0.00389105,0.00932663
0.280156,0.00389105,0.00942252
0.284047,0.00389105,0.009517
0.287938,0.00389105,0.00961007
0.291829,0.00389105,0.0097017
0.29572,0.00389105,0.00979187
0.299611,0.00389105,0.00988059
0.303502,0.00389105,0.00996783
0.307393,0.00389105,0.0100536
0.311284,0.00389105,0.0101378
0.315175,0.00389105,0.0102206
0.319066,0.00389105,0.0103018
0.322957,0.00389105,0.0103814
0.326848,0.00389105,0.0104595
0.330739,0.00389105,0.0105361
0.33463,0.00389105,0.0106111
0.338521,0.00389105,0.0106845
0.342412,0.00389105,0.0107562
0.346304,0.00389105,0.0108264
0.350195,0.00389105,0.010895
0.354086,0.00389105,0.0109619
0.357977,0.00389105,0.0110272
0.361868,0.00389105,0.0110909
0.365759,0.00389105,0.0111529
0.36965,0.00389105,0.0112132
0.373541,0.00389105,0.0112719
0.377432,0.00389105,0.0113289
0.381323,0.00389105,0.0113841
0.385214,0.00389105,0.0114377
0.389105,0.00389105,0.0114896
0.392996,0.00389105,0.0115397
0.396887,0.00389105,0.0115882
0.400778,0.00389105,0.0116349
0.404669,0.00389105,0.0116798
0.40856,0.00389105,0.011723
0.412451,0.00389105,0.0117645
0.416342,0.00389105,0.0118042
0.420233,0.00389105,0.0118421
0.424125,0.00389105,0.0118783
0.428016,0.00389105,0.0119127
0.431907,0.00389105,0.0119453
0.435798,0.00389105,0.0119761
0.439689,0.00389105,0.0120052
0.44358,0.00389105,0.0120324
0.447471,0.00389105,0.0120579
0.451362,0.00389105,0.0120815
0.455253,0.00389105,0.0121034
0.459144,0.00389105,0.0121234
0.463035,0.00389105,0.0121416
0.466926,0.00389105,0.012158
0.470817,0.00389105,0.0121726
0.474708,0.00389105,0.0121854
0.478599,0.00389105,0.0121963
0.48249,0.00389105,0.0122055
0.486381,0.00389105,0.0122128
0.490272,0.00389105,0.0122182
0.494163,0.00389105,0.0122219
0.498054,0.00389105,0.0122237
0.501946,0.00389105,0.0122237
0.505837,0.00389105,0.0122219
0.509728,0.00389105,0.0122182
0.513619,0.00389105,0.0122128
0.51751,0.00389105,0.0122055
0.521401,0.00389105,0.0121963
0.525292,0.00389105,0.0121854
0.529183,0.00389105,0.0121726
0.533074,0.00389105,0.012158
0.536965,0.00389105,0.0121416
